railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
1253,008893534,Wichelen,Wichelen,Wichelen,http://live.dbpedia.org/resource/Wichelen,3.969195,51.001964
1254,008873239,Yves-Gomezée,Yves-Gomezée,Yves-Gomezée,http://live.dbpedia.org/resource/Yves-Gomezée,4.492709,50.237133
1255,008863545,Yvoir,Yvoir,Yvoir,http://live.dbpedia.org/resource/Yvoir,4.87864,50.32084
1256,008895737,Zandbergen,Zandbergen,Zandbergen,http://live.dbpedia.org/resource/Zandbergen,3.957652,50.806986
126,008863867,Beauraing,Beauraing,Beauraing,http://live.dbpedia.org/resource/Beauraing,4.95684,50.114433
1260,008811221,Zaventem,Zaventem,Zaventem,http://live.dbpedia.org/resource/Zaventem,4.46989,50.88572
1261,008891264,Zedelgem,Zedelgem,Zedelgem,http://live.dbpedia.org/resource/Zedelgem,3.164142,51.127048
1262,008891553,Zeebrugge-Dorp,Zeebrugge-Dorp,Zeebrugge-Dorp,http://live.dbpedia.org/resource/Zeebrugge-Dorp,3.195171,51.326381
1265,008894235,Zele,Zele,Zele,http://live.dbpedia.org/resource/Zele,4.042001,51.073255
1266,008812062,Zellik,Zellik,Zellik,http://live.dbpedia.org/resource/Zellik,4.274546,50.890032
127,008891124,Beernem,Beernem,Beernem,http://live.dbpedia.org/resource/Beernem,3.32989,51.12801
1270,008833274,Zichem,Zichem,Zichem,http://live.dbpedia.org/resource/Zichem,4.98736,51.00669
1272,008892635,Zingem,Zingem,Zingem,http://live.dbpedia.org/resource/Zingem,3.646381,50.908026
1274,008895208,Zottegem,Zottegem,Zottegem,http://live.dbpedia.org/resource/Zottegem,3.81441,50.8691
1275,008891611,Zwankendamme,Zwankendamme,Zwankendamme,http://live.dbpedia.org/resource/Zwankendamme,3.19156,51.30641
1278,008894821,Zwijndrecht,Zwijndrecht,Zwijndrecht,http://live.dbpedia.org/resource/Zwijndrecht,4.329776,51.214106
128,008814423,Beersel,Beersel,Beersel,http://live.dbpedia.org/resource/Beersel,4.302603,50.766613
